cycle,count,mae,rmse
5,15,0.219276425838,0.278481045386
6,15,0.133210701282,0.174848467962
7,15,0.136493422527,0.167439898542
8,15,0.127675698376,0.163828725072
9,15,0.257253730664,0.311879776222
10,15,0.216456695948,0.274249829074
11,15,0.326369093074,0.396115713355
12,15,0.23940666505,0.309375828179
13,15,0.164651965663,0.212487932343
14,15,0.193923703021,0.241522070395
15,15,0.159321822531,0.198735317297
16,15,0.167502083952,0.195419410822
17,15,0.182892217894,0.236813417665
18,15,0.142629792627,0.193657183223
19,15,0.157454838794,0.191516057122
20,15,0.183819102707,0.217755451944
21,15,0.168921172308,0.195146121593
22,15,0.210193752696,0.250687495479
23,15,0.160146198204,0.188601717156
24,15,0.149863334584,0.180020123572
25,15,0.172592222223,0.201542660319
26,15,0.235276174403,0.281051968367
27,15,0.274770547918,0.323346947303
28,15,0.215501764002,0.255231384526
29,15,0.176311422916,0.209216425221
30,15,0.131545626096,0.15394286081
31,15,0.163724971033,0.192703163642
32,15,0.108242281952,0.13742297192
33,15,0.163408293209,0.194289863399
34,15,0.236429450471,0.279224153783
35,15,0.296245588613,0.437969395769
36,15,0.26080554098,0.378870891099
37,15,0.306919604684,0.401618858677
38,15,0.249640218772,0.341937020273
39,15,0.292896815766,0.386657470665
40,15,0.368172850423,0.437660826136
41,15,0.346898219106,0.443419082065
42,15,0.140877770406,0.169067630951
43,15,0.140102538631,0.172406100196
44,15,0.192989557831,0.242743803806
45,15,0.213320771904,0.248628327809
46,15,0.162047357098,0.206747034007
47,15,0.149398669671,0.183133783368
48,15,0.20155554116,0.243560858307
49,15,0.126108686666,0.167232821479
50,15,0.126617001527,0.160821143107
51,15,0.15674519157,0.185567437572
52,15,0.111618875646,0.139770040591
53,15,0.189264630035,0.234618551708
54,15,0.105927468283,0.1362947429
55,15,0.101721485137,0.129891855536
56,15,0.153549744011,0.197268460423
57,15,0.174224104098,0.219282706686
58,15,0.255808132354,0.323636444711
59,15,0.257666596613,0.305745303088
60,15,0.161631356822,0.202887826847
61,15,0.126355540576,0.155082735256
62,15,0.161303754212,0.210016925127
63,15,0.19314641172,0.243121666272
64,15,0.259232312608,0.322350355253
65,15,0.195105118975,0.263345923488
66,15,0.42204469659,0.504640837083
67,15,0.647310358476,0.768592349387
68,15,0.13403810835,0.168209498629
69,15,0.157138610131,0.201168464825
70,15,0.254526159486,0.379420141302
71,15,0.171628350515,0.213682777542
72,15,0.117966724542,0.150573894759
73,15,0.312860577098,0.399817684052
74,15,0.100892258351,0.129959328961
75,15,0.0894132396792,0.125196751605
76,15,0.102174287581,0.130157021724
77,15,0.140911338601,0.19978503436
78,15,0.12280663654,0.154849412654
79,15,0.0841355114295,0.097413622203
80,15,0.100980563386,0.118100392201
81,15,0.135083173007,0.178385704021
82,15,0.130948254045,0.155317914127
83,15,0.200553915143,0.245181848527
84,15,0.110868200176,0.142582141167
85,15,0.168256900806,0.201420567224
86,15,0.10898124777,0.136123142642
87,15,0.140017376049,0.171752020139
88,15,0.22474513841,0.292252934733
89,15,0.154577534169,0.198115437105
90,15,0.275354423574,0.340586835627
91,15,0.144217401478,0.208449245636
92,15,0.129196102503,0.161625716977
93,15,0.22145359202,0.266211474922
94,15,0.108544082089,0.141996620527
95,15,0.169738585238,0.219476783722
96,15,0.343528336712,0.39915418569
97,15,0.150984586417,0.189543489181
98,15,0.185981505098,0.211966380935
99,15,0.120009436632,0.153006604902
100,15,0.121376545425,0.156484464734
101,15,0.244716468682,0.270874882449
102,15,0.133311891592,0.163882010627
103,15,0.181886794869,0.228859558668
104,15,0.105503086429,0.131321351368
105,15,0.116960286717,0.142863018717
106,15,0.095394628125,0.118812375667
107,15,0.15653189953,0.196444850853
108,15,0.170266492952,0.210869560802
109,15,0.238798865815,0.293699772175
110,15,0.252615214735,0.328393462197
111,15,0.204571440467,0.254475815726
112,15,0.181100745987,0.231805350421
113,15,0.20412415994,0.250344353631
114,15,0.201112350534,0.270862714763
115,15,0.182004492843,0.243834469047
116,15,0.171454544543,0.20798277013
117,15,0.13908363883,0.16960673154
118,15,0.205421561054,0.2713453061
119,15,0.293309153975,0.356583089445
120,15,0.595613275027,0.76904694682
121,15,0.552301198812,0.643125033882
122,15,0.551076387398,0.71479148666
123,15,0.567150195879,0.646507506286
124,15,0.422337363824,0.525536783679
125,15,0.564678337472,0.685822544214
126,15,0.409684357694,0.58171357454
127,15,0.663069455412,0.764836598824
128,15,0.174435398562,0.217874490509
129,15,0.144299080919,0.209619097881
130,15,0.130560511333,0.163980657016
131,15,0.201241418307,0.241472294514
132,15,0.305610195998,0.369976756623
133,15,0.436973838016,0.525652352645
134,15,0.537815034565,0.617095355368
135,15,0.487375864792,0.56489949252
136,15,0.350863214853,0.42498815632
137,15,0.382816318107,0.431077490752
138,15,0.253481365852,0.339052214408
139,15,0.185862236045,0.249123267224
140,15,0.0943883488119,0.125358812028
141,15,0.13797965,0.187059750718
142,15,0.131159842808,0.160475097507
143,15,0.202618614672,0.274663046307
144,15,0.100812554418,0.1386145912
145,15,0.0994482285609,0.138872096877
146,15,0.0938330617403,0.115755746481
147,15,0.0823281550573,0.103001342879
148,15,0.111833140151,0.142968043582
149,15,0.0845301778646,0.103802364556
150,15,0.118986579903,0.14679690982
151,15,0.120817075403,0.151508184419
152,15,0.191338296353,0.24155961264
153,15,0.151237889725,0.213181783295
154,15,0.181927004995,0.274689438334
155,15,0.212129139156,0.266335307315
156,15,0.105792332686,0.135202363541
157,15,0.278788897107,0.343601481428
158,15,0.184695216348,0.227383073753
159,15,0.0971709257029,0.128038205813
160,15,0.150394962277,0.194929248644
161,15,0.0938772136679,0.131464537262
162,15,0.146760357966,0.171776826749
163,15,0.0994962738219,0.112469825433
164,15,0.107460500797,0.13038853133
165,15,0.110667459679,0.144806913647
166,15,0.10505942124,0.135059445579
167,15,0.113027633019,0.132155883198
168,15,0.148702314683,0.176602981144
169,15,0.130534205178,0.160560348382
170,15,0.0935010925438,0.11675836156
171,15,0.127952324172,0.15103359759
172,15,0.13092600537,0.175916724856
173,15,0.126628668658,0.152763622895
174,15,0.114098618965,0.144784610692
175,15,0.111045103974,0.139653779774
176,15,0.113224228845,0.130411233876
177,15,0.0824395079062,0.10076253977
178,15,0.0921327104681,0.113022971018
179,15,0.0828879694804,0.1014877872
180,15,0.0955517215493,0.118749114676
181,15,0.111480009578,0.131924463367
182,15,0.122580351583,0.149575125033
183,15,0.11796430297,0.136225486124
184,15,0.0706572253632,0.0920837360207
185,15,0.11439168918,0.143039731975
186,15,0.130397120971,0.152339847784
187,15,0.122810954248,0.178035741325
188,15,0.125078896573,0.154390331362
189,15,0.163656667422,0.193574412635
190,15,0.137673331489,0.186326462736
191,15,0.177514465183,0.2330311626
192,15,0.133731135787,0.172174871273
193,15,0.156010967488,0.19468407454
194,15,0.102893425815,0.135714820001
195,15,0.0978778883456,0.120934190248
196,15,0.160592662294,0.242590302339
197,15,0.261067720744,0.358611425821
198,15,0.18659051039,0.292369529561
199,15,0.187878302154,0.239700428268
200,15,0.291651858609,0.363182283594
201,15,0.469632422968,0.559646549804
202,15,0.571394985588,0.668927857956
203,15,0.521120525329,0.644445304792
204,15,0.46695565329,0.638955583872
205,15,0.598405277448,0.703279371405
206,15,0.674084660124,0.831282642009
207,15,0.528692866542,0.629562903012
208,15,0.681526584636,0.779362463697
209,15,0.497038689301,0.61318427695
210,15,0.724829333701,0.842503671336
211,15,0.963004642151,1.19680820719
212,15,0.491995411375,0.60010779414
213,15,0.534157300033,0.673614733822
214,15,0.626151478514,0.932876011134
215,15,0.602701996609,0.885098381814
216,15,0.552923076602,0.69367840029
217,15,0.334559168086,0.406321935069
218,15,0.256867875419,0.308415322263
219,15,0.256724147954,0.311932614881
220,15,0.191901639372,0.249062797223
221,15,0.195709122274,0.276805588145
222,15,0.183667016766,0.240942995663
223,15,0.156460554791,0.196753339422
224,15,0.132796316267,0.17877969757
225,15,0.130892288808,0.159565590001
226,15,0.1638524778,0.211405385306
227,15,0.151019805489,0.188066969362
228,15,0.364433844442,0.445881005255
229,15,0.511718665165,0.663092211403
230,15,0.568072289906,0.647817863451
231,15,0.503798241638,0.593607970789
232,15,0.941813907748,1.06904611527
233,15,0.980965062533,1.14362072398
234,15,0.774092266204,0.914865807258
235,15,0.622499680526,0.745133390466
236,15,0.559279003405,0.651932500694
237,15,0.52364666647,0.636379910678
238,15,0.442901410845,0.615740045534
239,15,0.492545615649,0.651268381931
240,15,0.349272956134,0.425323521232
241,15,0.324957001202,0.393889560422
242,15,0.478737360703,0.611815446407
243,15,0.649429880004,0.796401354606
244,15,0.978418604084,1.20150318369
245,15,1.12598248655,1.28055103559
246,15,0.7712873529,0.882465514746
247,15,0.564868248828,0.71989918195
248,15,0.529351419784,0.62239751746
249,15,0.460719113679,0.567113376135
250,15,0.335197218719,0.42805852223
251,15,0.397334505673,0.467742868948
252,15,0.296406164668,0.356576825013
253,15,0.340500899698,0.38108824874
254,15,0.192756289065,0.257805223234
255,15,0.113698940992,0.136284248281
256,15,0.11269845738,0.149929486182
257,15,0.219521583485,0.295526260509
258,15,0.122834488557,0.161604834932
259,15,0.163714802598,0.195508180398
260,15,0.156659890546,0.197073000123
261,15,0.199491234961,0.235778998013
262,15,0.187769695563,0.236611356353
263,15,0.189960982764,0.226203259412
264,15,0.281663975447,0.376581185703
265,15,0.319544581338,0.417131149059
266,15,0.286370804363,0.346705841109
267,15,0.265457699591,0.336633776195
268,15,0.237015362619,0.302130512067
269,15,0.205886691642,0.263950747013
270,15,0.23901511237,0.291133898625
271,15,0.176858344634,0.215040770564
272,15,0.14031402079,0.173342452626
273,15,0.133567998789,0.163750277593
274,15,0.132408131558,0.175314606791
275,15,0.147483521165,0.189173253553
276,15,0.308458580593,0.376759834825
277,15,0.148562669122,0.204006605172
278,15,0.109349597488,0.139113172648
279,15,0.124115482171,0.16527461046
280,15,0.159489105227,0.204069275628
281,15,0.165730591818,0.23090508506
282,15,0.259303278858,0.287620963237
283,15,0.142586422078,0.183941700743
284,15,0.180890152259,0.211736564862
285,15,0.101648060822,0.128878739562
286,15,0.146479216586,0.178962130113
287,15,0.151209200369,0.203605815123
288,15,0.131957300338,0.159209443128
289,15,0.155132948616,0.207394806698
290,15,0.191031915865,0.235800453392
291,15,0.137045337799,0.170668072711
292,15,0.0912032838779,0.11347534627
293,15,0.146800584675,0.175679231853
294,15,0.106236635069,0.147746037881
295,15,0.131326100387,0.186185651639
296,15,0.0937188409617,0.112342126838
297,15,0.118248663681,0.142382041987
298,15,0.164130012822,0.200444385222
299,15,0.145321650557,0.178678389935
300,15,0.135440483352,0.178491550332
301,15,0.13084105963,0.160766224862
302,15,0.101757215878,0.143693949124
303,15,0.130014110663,0.158387460206
304,15,0.116122266455,0.133187455863
305,15,0.115525693909,0.137266913691
306,15,0.121203234027,0.159286904467
307,15,0.132914877476,0.175201091303
308,15,0.136782248592,0.160396940007
309,15,0.190663257168,0.261446608942
310,15,0.183121304921,0.234079731547
311,15,0.22242681974,0.272271602046
312,15,0.347960166491,0.444528644357
313,15,0.46649573812,0.597644730816
314,15,0.2987649088,0.352106136258
315,15,0.232776493494,0.284495079354
316,15,0.255410756827,0.326017047374
317,15,0.284708613048,0.365724130914
318,15,0.180711321385,0.226797081572
319,15,0.244939779715,0.30004295764
320,15,0.211307769427,0.261136122365
321,15,0.135942100599,0.166561557798
322,15,0.123292779587,0.161904716267
323,15,0.152993775421,0.198698249312
324,15,0.124058664788,0.167707892926
325,15,0.150618293619,0.198647975455
326,15,0.220761335366,0.272114325373
327,15,0.465310759193,0.552555470584
328,15,0.24661539741,0.297864080096
329,15,0.131497178715,0.183681413628
330,15,0.143739285858,0.174699630229
331,15,0.159123800902,0.192656102924
332,15,0.313607755999,0.393935687311
333,15,0.467879552667,0.545940818284
334,15,0.494971634687,0.611515472103
335,15,0.727406442307,0.85840194891
