cycle,count,mae,rmse
24,50,1.51145728079,1.78027742473
25,50,1.38803432948,1.6741342899
26,50,1.53627121099,1.82219713551
27,50,1.90105961438,2.3503849077
28,50,1.60381373839,2.10069549975
29,50,1.64835294416,2.02744943209
30,50,1.58181017314,1.95166218502
31,50,2.3852756225,3.32849280834
32,50,2.45669094841,3.37975421465
33,50,2.15923335969,2.85751149142
34,50,1.676489396,2.38894951722
35,50,2.21877088056,2.77939979191
36,50,2.14091206375,2.63840495178
37,50,1.98906681709,3.25710951148
38,50,2.25628241698,3.36161462124
39,50,2.6377033294,3.63533118116
40,50,2.13542480208,2.93615996795
41,50,3.01008304733,3.90118367875
42,50,2.29159971489,2.99743590118
43,50,2.79080308261,3.6646177565
44,50,2.87639790338,3.80581077453
45,50,2.64357323373,3.23110487156
46,50,2.42834364331,3.15811091658
47,50,1.50265242509,1.90375252997
48,50,2.39177990884,2.80227592265
49,50,1.32431942831,1.5699963896
50,50,1.63754024122,1.95804428119
51,50,1.52006011713,1.92161251351
52,50,1.4953170894,1.91683480325
53,50,1.43860887047,1.76026052027
54,50,1.37486760973,1.71714069391
55,50,1.28901745469,1.697245802
56,50,1.82619569111,2.30673261286
57,50,2.5833523728,3.2914753339
58,50,2.57065502264,3.38734397077
59,50,2.65761052042,3.42158185643
60,50,2.3794048244,3.35127403226
61,50,2.19338378917,2.92620207606
62,50,1.89269811542,2.54592522757
63,50,2.36734269051,3.44607669453
64,50,2.24729270607,3.2413870166
65,50,2.4466185649,3.4195161715
66,50,2.89576004167,3.52076327028
67,50,2.3870289318,3.19867119672
68,50,1.66533965327,2.11356273036
69,50,2.05675306026,2.80506103897
70,50,1.80975863997,2.27527591523
71,50,1.40773752881,1.75931862432
72,50,2.36148328731,2.97000103935
73,50,1.72883248513,2.07069710857
74,50,1.59769753025,2.11295785723
75,50,1.5517092824,1.81593604634
76,50,1.85000201329,2.20997606384
77,50,1.80006873175,2.15816951454
78,50,1.80665657692,2.14170420759
79,50,1.2433984112,1.55349630251
80,50,1.55930325116,1.89923155094
81,50,1.67277617526,2.17088734309
82,50,1.98556823481,2.62206541234
83,50,2.09023287231,2.63645340658
84,50,1.76119100076,2.17546155947
85,50,1.74013415238,2.39471582978
86,50,2.18689377441,3.17351055429
87,50,2.69414794982,3.9529948075
88,50,2.28159078149,3.32008037522
89,50,2.45407175717,3.48098156876
90,50,2.52521284479,3.50289153468
91,50,2.78307241443,4.17989866813
92,50,2.0414292085,3.15430658563
93,50,2.33148438782,2.96434894716
94,50,1.72322476866,2.0370779067
95,50,1.68145603044,1.90266949171
