cycle,count,mae,rmse
24,40,1.37247336941,1.7657552447
25,40,1.36067672492,1.63798133621
26,40,1.65851830465,1.91647395438
27,40,1.49004669083,1.97792280425
28,40,1.68012043352,2.19434838426
29,40,1.57317364829,1.95577738237
30,40,1.81354525225,2.28865253587
31,40,2.60879959425,3.48421502495
32,40,2.64477908705,3.42866877483
33,40,2.03093631845,2.64662309182
34,40,2.17787201967,2.70959034327
35,40,2.54527556042,2.98690656377
36,40,2.13135979971,2.65495818528
37,40,2.00607697379,3.15493130783
38,40,2.24486291749,3.44235403222
39,40,2.11181402925,3.14147512045
40,40,2.14620795997,3.08600593466
41,40,2.78900251036,3.68910508946
42,40,3.07857518299,4.00886064285
43,40,2.27610213036,2.85658977133
44,40,2.88221521302,3.83052370255
45,40,2.45685773732,3.02273685503
46,40,2.05999577816,2.78301212721
47,40,1.35438730616,1.70259783569
48,40,1.79865425601,2.2606329516
49,40,1.59832521711,1.95239317587
50,40,1.48167422095,1.7521340742
51,40,2.00995619499,2.53209661966
52,40,1.59592597478,1.92740082497
53,40,1.33875360416,1.69243482922
54,40,1.32238881598,1.67295963582
55,40,1.24687261633,1.61967844386
56,40,1.79800476935,2.40120695749
57,40,2.45650817514,3.33680017685
58,40,2.66289667774,3.55999488306
59,40,2.63695829335,3.29342428305
60,40,2.54572184862,3.34922017329
61,40,2.16898740741,2.88208092468
62,40,2.22113116608,2.83408627393
63,40,2.59537149668,3.46092552802
64,40,2.23552675983,3.06195204174
65,40,2.46587837334,3.62989424787
66,40,2.69298370759,3.35051630563
67,40,2.44854221557,3.27124177539
68,40,1.40110905643,1.818347509
69,40,2.51042530054,3.23429604935
70,40,1.81412533628,2.23307975365
71,40,1.35290233901,1.69756313132
72,40,1.85440880286,2.29397999138
73,40,1.71029337908,1.94721211922
74,40,1.58676823999,2.04082449998
75,40,1.37438827151,1.66105638364
76,40,1.73595499579,2.11693851234
77,40,2.42189379898,2.95833139126
78,40,1.74156597671,2.09034240935
79,40,1.61297195521,1.94982159477
80,40,1.31807572382,1.71244392981
81,40,1.79098695159,2.20468641118
82,40,1.8314750503,2.58815863442
83,40,2.17331120136,2.7529434118
84,40,1.6882805495,2.1041014302
85,40,1.70200603368,2.1676761418
86,40,2.09176843364,2.93562812215
87,40,2.77069118486,3.76616588312
88,40,2.32004048874,3.33268320248
89,40,2.87898318548,4.22067726064
90,40,2.62013186561,3.74182084716
91,40,2.77464384609,3.83754432498
92,40,2.4133269636,3.54282943134
93,40,2.60516326748,3.34820787608
94,40,1.51403048857,1.9610432015
95,40,1.23681027161,1.54657825135
