cycle,count,mae-o,mae-w0.25,mae-w0.5,mae-w.75
55,15,0.123419226355,0.161435455333,0.117338083487,0.136444033022
56,15,0.125434809885,0.139163706502,0.129158503574,0.135688693792
57,15,0.153459982669,0.152018717918,0.152023319592,0.148581963643
58,15,0.243729106485,0.245587716871,0.244460603386,0.245769732717
59,15,0.213336420475,0.206100101542,0.208357657376,0.21326666881
60,15,0.15325850746,0.151391878113,0.151559169736,0.186136456796
61,15,0.255195836981,0.0940756758656,0.213004482833,0.111420416948
62,15,0.161892125116,0.134305644597,0.135295192467,0.132785892577
63,15,0.222715059438,0.229079091921,0.205317199152,0.222309187578
64,15,0.234059242324,0.242795289126,0.243005826209,0.23650229749
65,15,0.191627564727,0.185791708638,0.189887335245,0.185023430664
66,15,0.364185575735,0.35325123732,0.396687525725,0.38180907261
67,15,0.697668233315,0.689319078836,0.701952736308,0.70952181218
68,15,0.142110778748,0.167961143714,0.135984633505,0.142713700118
69,15,0.143526346489,0.147078430345,0.151042655346,0.138699212047
70,15,0.305577575535,0.302987448115,0.300070276926,0.318965500029
71,15,0.161923023016,0.168949246978,0.160738222146,0.194754345769
72,15,0.153032239949,0.131693549974,0.137111243233,0.265700106507
73,15,0.313928469275,0.307440696395,0.319537573617,0.318884176256
74,15,0.171770747762,0.117109215338,0.120301530445,0.105779919103
75,15,0.0981811188538,0.103338945084,0.105524799776,0.103621957519
76,15,0.123283967353,0.15607893482,0.137646894107,0.2069401555
77,15,0.158776922249,0.179514655443,0.166484857955,0.154115168663
78,15,0.154640955746,0.129366844495,0.138149330711,0.145618292321
79,15,0.103397716135,0.103529534806,0.104886875944,0.109208143941
80,15,0.100704501046,0.101005998408,0.143934293372,0.0998190202334
81,15,0.119364359352,0.123212943809,0.132647673492,0.127392599489
82,15,0.139946353679,0.149332840214,0.160830184671,0.150773555395
83,15,0.142829193801,0.148974677738,0.150596288015,0.147077279795
84,15,0.170786888749,0.149062572326,0.138226333581,0.116669328523
85,15,0.128061652115,0.127778727049,0.136213399255,0.201448597966
86,15,0.150066734317,0.103299452777,0.0963946796468,0.108498949502
87,15,0.142129192924,0.133843818323,0.162747439268,0.155098488437
88,15,0.268936150566,0.284921069328,0.288740811868,0.228471915602
89,15,0.129087746176,0.128714677606,0.130437803989,0.132016719566
90,15,0.270900078926,0.278064847797,0.291763937861,0.266424380362
91,15,0.113533413052,0.127687169771,0.142971973737,0.115799198817
92,15,0.173112045739,0.172511286765,0.172217020952,0.160941661681
93,15,0.199304324325,0.19874241562,0.203879463542,0.211859750182
94,15,0.114591274507,0.117386311301,0.114040046325,0.123420000782
95,15,0.138275229784,0.158099410749,0.131347225001,0.133480168442
96,15,0.369861348958,0.410091118854,0.372220552173,0.433156733779
97,15,0.0895540494327,0.0896203011073,0.0896348461656,0.118974480339
98,15,0.143888046051,0.121318561319,0.119260966217,0.118026490642
99,15,0.114540520583,0.157460848652,0.115589221159,0.123073431164
100,15,0.124993539877,0.126924048047,0.141037158334,0.121619358811
101,15,0.150185205115,0.159165506578,0.111286756346,0.150488743284
102,15,0.165934736717,0.153481924449,0.155761808757,0.160790850528
103,15,0.224599720189,0.177890104944,0.254005980792,0.166997594381
104,15,0.137522318118,0.139202017625,0.136285126523,0.156908147736
105,15,0.0985873722167,0.0964635910892,0.105866022073,0.0962232272133
106,15,0.241143736406,0.258531713169,0.245226578517,0.352792261663
107,15,0.101993937354,0.106058717421,0.159598573774,0.167057518469
108,15,0.176173850759,0.261284462894,0.294448724419,0.166926541138
109,15,0.230116325068,0.239474217966,0.246395352804,0.251877913747
110,15,0.223478063941,0.219771438234,0.219248619938,0.214234963297
111,15,0.259487132139,0.213788863991,0.228047246451,0.280123247161
112,15,0.185798092866,0.189055004344,0.1912730003,0.185682436585
113,15,0.23573517288,0.230094095335,0.224544524066,0.230493394503
114,15,0.181663344662,0.185648397546,0.182673102554,0.193228833335
115,15,0.176707271581,0.183517818846,0.175495532687,0.172678556467
116,15,0.140939045456,0.148159813389,0.145505852053,0.135077276037
117,15,0.134780606933,0.135733525992,0.143263565578,0.132983096287
118,15,0.173112726339,0.16878026937,0.258721537461,0.18000091984
119,15,0.264880120361,0.262833163617,0.258200763329,0.268220804606
120,15,0.69087486941,0.662014987154,0.678490452535,0.686965144024
121,15,0.556828084454,0.553091780082,0.567413295012,0.543353881296
122,15,0.63052798547,0.61585366642,0.621255433281,0.62819330282
123,15,0.514142250384,0.498810199828,0.485073147241,0.480798549634
124,15,0.434440614545,0.416548554046,0.444397591297,0.427072512611
125,15,0.583819885707,0.575888187692,0.570070690867,0.577939443022
126,15,0.436142407047,0.426765366241,0.437918541138,0.435619947727
127,15,0.505339497345,0.514631183246,0.531448346324,0.53180774144
128,15,0.176298474774,0.17392146658,0.177920968019,0.187915796182
129,15,0.150324668986,0.20834703395,0.158360744738,0.159133386555
130,15,0.107899126012,0.108211703732,0.102456784265,0.11262709493
131,15,0.166664758345,0.176742379997,0.175907639589,0.166285067772
132,15,0.296128629263,0.301730972996,0.299847353535,0.299334429587
133,15,0.493962397576,0.501878732226,0.48583610091,0.502074573168
134,15,0.553476267972,0.520641707631,0.516939406893,0.515284429221
135,15,0.529255621616,0.4829421896,0.513097353902,0.491219865857
136,15,0.3658372145,0.35888733282,0.35960345336,0.359574113457
137,15,0.312788422109,0.295214188106,0.289372073081,0.28970466568
138,15,0.283219736959,0.22833485443,0.20690522315,0.214353869564
139,15,0.21780019135,0.192627610703,0.1900399356,0.1934710161
140,15,0.128745717648,0.199636492864,0.131220869536,0.1259328122
141,15,0.142489040309,0.142486057182,0.147461359071,0.138998849584
142,15,0.17185739993,0.134051375221,0.12302292428,0.134544690098
143,15,0.144759671963,0.1448297093,0.15045701556,0.135457395161
144,15,0.115619845115,0.125167717157,0.100826562572,0.102985571129
145,15,0.107554872907,0.106668598733,0.156624218881,0.100380612828
146,15,0.111482805534,0.107284266806,0.104009242967,0.106387513257
147,15,0.103768638788,0.0979794599554,0.119777186843,0.0923947033611
148,15,0.094912236548,0.10273728249,0.112889908458,0.101942512486
149,15,0.0833190017545,0.102539833589,0.110823360991,0.0911509655871
150,15,0.15251404103,0.0928810749464,0.104776322512,0.133877078076
151,15,0.120661068146,0.117335821197,0.118123563409,0.128664949643
152,15,0.118205838565,0.123818772595,0.118893557535,0.121193929799
153,15,0.16669869018,0.166836014939,0.161624627715,0.160409784211
154,15,0.188278038389,0.186029451035,0.186949806529,0.186746763199
155,15,0.199189393349,0.200522654255,0.20532888156,0.195336587675
156,15,0.110878846686,0.108509941181,0.118920226114,0.117490204505
157,15,0.275274792553,0.269028167578,0.26320857684,0.267928867176
158,15,0.195980628492,0.157199672453,0.172360318944,0.163757638066
159,15,0.100918816722,0.105348958099,0.108735779621,0.107229120168
160,15,0.138134407184,0.145159242024,0.170798663731,0.150178800074
161,15,0.122041733227,0.0969942275489,0.107951813179,0.0975327944144
162,15,0.138731359934,0.140041615517,0.132500838243,0.137855124943
163,15,0.111652710833,0.106071081579,0.113071340194,0.10586815236
164,15,0.104435614938,0.104304916431,0.11370163187,0.103904698625
165,15,0.102470471023,0.0981276494753,0.111449450414,0.0939930884352
166,15,0.107545419807,0.111420070757,0.116272917649,0.122472506721
167,15,0.119651999348,0.115352481953,0.131850201978,0.126875267862
168,15,0.11949179713,0.148980843705,0.133280278516,0.133346394613
169,15,0.0959181645255,0.10017838717,0.107365598806,0.0976161683086
170,15,0.11752657688,0.112174675345,0.122110753404,0.110533868929
171,15,0.0999387491712,0.112059269762,0.100262196963,0.09995410749
172,15,0.126518105108,0.142643606774,0.140901541639,0.135525683949
173,15,0.114878546581,0.131448510269,0.128675273463,0.125277488018
174,15,0.16370143547,0.146199385307,0.14272694127,0.154974416824
175,15,0.133387270356,0.134275196386,0.127652750556,0.145727193449
176,15,0.11706367725,0.0971536173954,0.104986393989,0.106793618426
177,15,0.106005075763,0.101128311214,0.0986749787676,0.112123147622
178,15,0.0952470774075,0.0876598229496,0.0894237143881,0.0887032723312
179,15,0.0715673039003,0.0950117045826,0.0818944369256,0.0825520302069
180,15,0.091144252853,0.113168441046,0.0928977388505,0.0971930160276
181,15,0.0862864044574,0.0838662935411,0.0877823079236,0.107826126639
182,15,0.140923722698,0.139716579754,0.120252541597,0.125379908065
183,15,0.103610425698,0.106855098939,0.0882183254858,0.109433592821
184,15,0.0984598714558,0.0903920625708,0.0961124448238,0.0933333630552
185,15,0.0926075167338,0.0966288366971,0.0872266468735,0.0916053192285
186,15,0.110344759617,0.0990621129205,0.0937660127102,0.0906388053948
187,15,0.118558562238,0.121259112851,0.123856057785,0.122658287319
188,15,0.150780546668,0.144692700488,0.13122775022,0.139411009186
189,15,0.175468189492,0.184911205024,0.153043208209,0.176044192895
190,15,0.124318898884,0.136840897569,0.140434320851,0.138625436584
191,15,0.197913767523,0.167550145935,0.175300230415,0.165078176301
192,15,0.134762564433,0.165239755279,0.148011543055,0.18462682058
193,15,0.119525932294,0.113138527623,0.106748537249,0.143597806644
194,15,0.134455817177,0.138385214883,0.131253071864,0.160062512964
195,15,0.0984502096634,0.106443915092,0.116632598168,0.111171540062
196,15,0.210544557309,0.180013955031,0.212412332053,0.215482047194
197,15,0.236265089059,0.246868762955,0.234077084373,0.252525636717
198,15,0.17733709516,0.177384175836,0.17823248358,0.177512372071
199,15,0.200198027521,0.289124834755,0.188327193025,0.361918253087
200,15,0.251842838282,0.254603763347,0.245461472694,0.257947084772
201,15,0.435998469283,0.430033823303,0.432450318118,0.433680465988
202,15,0.592907033066,0.559116534933,0.566172171001,0.532101663065
203,15,0.555256794324,0.549800287383,0.563328513628,0.55986047753
204,15,0.51404134898,0.495594218314,0.531439359952,0.630178444831
205,15,0.593385201312,0.576662584581,0.61298121421,0.591170439317
206,15,0.697710283899,0.693964580564,0.698293851818,0.699898930372
207,15,0.565425028582,0.56114926511,0.55747479895,0.572602013823
208,15,0.708316007063,0.709365311328,0.701513605228,0.696659260538
209,15,0.516379972628,0.578193816277,0.511804101999,0.557975632717
210,15,0.595156872061,0.576230756067,0.562704356789,0.552761742301
211,15,1.05435709587,1.0310924722,1.09209585577,1.08115262897
212,15,0.509903931632,0.507501511375,0.516942103953,0.509180574587
213,15,0.589127861586,0.587920155936,0.588651120037,0.585645732298
214,15,0.612514092032,0.612675911263,0.606980822993,0.608205269683
215,15,0.659043347804,0.667196492104,0.659158896696,0.66235002666
216,15,0.495604461499,0.512302331378,0.489161822533,0.498683247186
217,15,0.365968423425,0.37767734016,0.375151945974,0.370879459069
218,15,0.283840753271,0.266279985582,0.281455341216,0.27022834791
219,15,0.228505028532,0.237154708597,0.253544941746,0.25578866709
220,15,0.194049639538,0.219271920073,0.197990780594,0.198613286921
221,15,0.216873151648,0.225769759444,0.223725990741,0.20869054803
222,15,0.180041123286,0.191809182658,0.196778631658,0.175096230375
223,15,0.147150615087,0.158215765015,0.169005917843,0.147759740533
224,15,0.126978261149,0.134684640983,0.117703278139,0.11655972912
225,15,0.171082013657,0.124472621686,0.145288146437,0.132875321604
226,15,0.162286405384,0.159188822621,0.160922441593,0.166578256491
227,15,0.198312279171,0.182492341095,0.169744821683,0.192885742121
228,15,0.309758180329,0.314764871021,0.311567530886,0.291968070862
229,15,0.538959621603,0.506240463036,0.545213999667,0.513844405182
230,15,0.595705736558,0.593973823531,0.597078033216,0.600786837069
231,15,0.532247257193,0.531746478397,0.532843014785,0.538982976041
