cycle,count,mae,accuracy
50,15,17.8895666565,0.777777777778
51,15,17.3571523968,0.777777777778
52,15,15.8154076144,0.916666666667
53,15,14.2010728031,0.888888888889
54,15,16.3902015505,0.833333333333
55,15,14.5835306481,0.777777777778
56,15,14.8730504802,0.916666666667
57,15,16.6023246106,0.777777777778
58,15,18.9099489977,0.777777777778
59,15,18.3119545893,0.777777777778
60,15,14.7331269467,0.833333333333
61,15,13.0164148117,0.861111111111
62,15,14.0735134834,0.777777777778
63,15,13.7877404684,0.611111111111
64,15,11.1063883199,0.694444444444
65,15,11.7143534287,0.666666666667
66,15,11.1620246141,0.805555555556
67,15,14.3519085969,0.805555555556
68,15,20.7672673299,0.694444444444
69,15,25.5498330883,0.472222222222
70,15,21.6433290711,0.583333333333
71,15,21.1701531643,0.722222222222
72,15,22.2618185816,0.722222222222
73,15,29.2412067113,0.611111111111
74,15,27.439912407,0.722222222222
75,15,23.1056104351,0.722222222222
76,15,26.4527497632,0.527777777778
77,15,29.732195187,0.583333333333
78,15,26.1454999222,0.555555555556
79,15,25.0552789986,0.527777777778
80,15,25.2015274533,0.583333333333
81,15,25.5833522924,0.527777777778
82,15,26.7270520397,0.666666666667
83,15,21.4252307742,0.75
84,15,25.4828829521,0.472222222222
85,15,30.2710709355,0.472222222222
86,15,19.8021246363,0.777777777778
87,15,16.3543431148,0.833333333333
88,15,12.814734569,0.972222222222
89,15,12.3833088656,0.861111111111
90,15,17.6370874717,0.75
91,15,21.376094542,0.388888888889
92,15,35.6732436061,0.472222222222
93,15,34.6828793165,0.444444444444
94,15,30.4119083001,0.444444444444
95,15,32.5921329238,0.472222222222
96,15,22.5021168361,0.666666666667
97,15,21.217302693,0.638888888889
98,15,19.1502120093,0.75
99,15,20.8821501142,0.75
100,15,25.0716706202,0.666666666667
101,15,26.1456265802,0.638888888889
102,15,30.3659929728,0.527777777778
103,15,29.3957062478,0.361111111111
104,15,29.7274856683,0.5
105,15,26.4034555568,0.472222222222
106,15,28.9468067591,0.611111111111
107,15,35.7637726429,0.555555555556
108,15,25.3914714111,0.777777777778
109,15,45.0061692941,0.694444444444
110,15,46.08744456,0.694444444444
111,15,43.0510033181,0.805555555556
112,15,43.5595248229,0.777777777778
113,15,39.0471726102,0.888888888889
114,15,35.551011999,0.861111111111
115,15,36.3759536316,1.0
116,15,40.6011133999,1.0
117,15,37.7212280023,1.0
118,15,34.9630211405,0.972222222222
119,15,29.510228555,0.972222222222
120,15,35.0255616726,0.972222222222
121,15,33.0856248635,0.972222222222
122,15,31.8235032297,0.944444444444
123,15,37.96287643,0.861111111111
124,15,60.9717880062,0.666666666667
125,15,73.695625904,0.5
126,15,58.0580829702,0.444444444444
127,15,88.7227208835,0.25
128,15,57.9330696743,0.472222222222
129,15,37.2571405268,0.75
130,15,37.6471798051,0.583333333333
131,15,28.9196689019,0.75
132,15,35.1070012872,0.638888888889
133,15,23.9509761434,0.916666666667
134,15,11.4232111913,0.888888888889
135,15,16.6429016228,0.722222222222
136,15,19.1222044309,0.611111111111
137,15,23.0466267577,0.694444444444
138,15,27.9390162054,0.472222222222
139,15,24.1189562896,0.527777777778
140,15,27.4371285614,0.388888888889
141,15,37.8499440035,0.388888888889
142,15,25.0709790088,0.416666666667
143,15,23.3365646358,0.5
144,15,25.7925473648,0.527777777778
145,15,25.5328440997,0.472222222222
146,15,29.4468715753,0.527777777778
147,15,34.718436181,0.5
148,15,31.9264641461,0.305555555556
149,15,36.9477092488,0.361111111111
150,15,47.1204207343,0.25
151,15,56.3926748017,0.555555555556
152,15,52.7184827546,0.388888888889
153,15,51.4541368477,0.5
154,15,49.6551095429,0.333333333333
155,15,48.6694748625,0.388888888889
156,15,29.422626414,0.527777777778
157,15,20.4388467219,0.5
158,15,26.964841116,0.472222222222
159,15,21.2222086029,0.611111111111
160,15,34.6228036352,0.416666666667
161,15,34.7470785877,0.388888888889
162,15,28.4353546049,0.388888888889
163,15,31.966428251,0.527777777778
164,15,41.5299036457,0.444444444444
165,15,36.3683760764,0.611111111111
166,15,39.5233947134,0.666666666667
167,15,32.271947422,0.722222222222
168,15,41.714687968,0.666666666667
169,15,32.9275103709,0.722222222222
170,15,38.4802582983,0.666666666667
171,15,28.3445680523,0.694444444444
172,15,26.1070192181,0.75
173,15,26.5636448293,0.666666666667
174,15,35.2432837968,0.527777777778
175,15,46.1228857322,0.5
176,15,39.2435349852,0.5
177,15,31.6514862335,0.25
178,15,28.5629084903,0.583333333333
179,15,23.9909085852,0.75
180,15,19.6189609261,0.861111111111
181,15,7.87579574495,1.0
182,15,9.43978719812,0.972222222222
183,15,7.39406490105,1.0
184,15,8.58609957265,0.972222222222
185,15,8.49369028361,0.972222222222
186,15,11.3249021458,0.972222222222
187,15,8.70487877402,0.972222222222
188,15,8.67527815457,0.972222222222
189,15,8.99277889133,0.972222222222
190,15,9.94134509116,0.972222222222
191,15,11.3683697965,0.944444444444
192,15,13.4927021234,0.888888888889
193,15,14.0626367024,0.916666666667
194,15,12.5369213279,0.972222222222
195,15,13.8979519659,0.916666666667
196,15,16.297373719,0.861111111111
197,15,15.004028973,0.944444444444
198,15,15.3494180552,0.861111111111
199,15,17.0355720533,0.888888888889
200,15,18.314335082,0.833333333333
201,15,16.949988621,0.916666666667
202,15,22.839553592,0.805555555556
203,15,24.0338431702,0.833333333333
204,15,13.2866903326,0.888888888889
205,15,9.53968449249,0.944444444444
206,15,10.1214088531,0.916666666667
207,15,8.51995280194,0.972222222222
208,15,8.1310312412,0.972222222222
209,15,8.59456391911,0.972222222222
210,15,9.22162327441,0.972222222222
211,15,7.73934988677,0.972222222222
212,15,12.1620797853,0.972222222222
213,15,9.41129580299,0.972222222222
214,15,11.6184808029,0.972222222222
215,15,11.2902600965,0.972222222222
216,15,11.4968811734,0.944444444444
217,15,12.3892585546,0.944444444444
218,15,11.4705535174,0.972222222222
219,15,11.8772688687,0.944444444444
220,15,16.5921894202,0.888888888889
221,15,16.832595044,0.861111111111
222,15,13.0877919367,0.944444444444
223,15,12.0777099075,1.0
224,15,13.9104981773,0.944444444444
225,15,11.0095611917,0.972222222222
226,15,8.92569170984,0.888888888889
227,15,8.85950371747,0.916666666667
228,15,11.3643796916,0.944444444444
229,15,17.0988108463,0.916666666667
230,15,11.7035974298,0.944444444444
231,15,10.9412526573,0.916666666667
232,15,10.0248891986,0.972222222222
233,15,7.06025139998,1.0
234,15,8.7602453926,0.972222222222
235,15,10.1229461491,0.916666666667
236,15,10.8295630143,0.888888888889
237,15,11.8439943487,0.916666666667
238,15,12.0664029485,0.944444444444
239,15,13.5287909095,0.861111111111
240,15,12.7509865292,0.944444444444
241,15,14.1811803314,0.916666666667
242,15,9.4374828389,0.944444444444
243,15,10.7648774139,0.972222222222
244,15,14.9369059717,0.916666666667
245,15,14.050728758,0.916666666667
246,15,16.6207162626,0.916666666667
247,15,14.5809893697,0.944444444444
248,15,14.9804242802,0.916666666667
249,15,13.6310608063,0.805555555556
250,15,23.5839569866,0.527777777778
251,15,12.2805446133,0.888888888889
252,15,13.6536765203,0.861111111111
253,15,12.1805631792,0.944444444444
254,15,14.271624295,0.916666666667
255,15,14.2907363707,0.861111111111
256,15,15.1542167899,0.777777777778
257,15,20.2908447625,0.583333333333
258,15,27.5890585538,0.638888888889
259,15,21.0733158286,0.638888888889
260,15,32.453027255,0.388888888889
261,15,30.0595476339,0.444444444444
262,15,27.118076539,0.638888888889
263,15,37.1133609124,0.472222222222
