cycle,count,mae,accuracy
50,15,35.9111111111,0.75
51,15,22.5851851852,0.805555555556
52,15,29.2611111111,0.805555555556
53,15,19.6611111111,0.833333333333
54,15,15.8203703704,0.888888888889
55,15,12.8796296296,0.916666666667
56,15,28.8888888889,0.916666666667
57,15,19.2722222222,0.833333333333
58,15,24.0388888889,0.777777777778
59,15,24.1833333333,0.833333333333
60,15,12.4537037037,0.861111111111
61,15,14.7296296296,0.805555555556
62,15,16.5296296296,0.722222222222
63,15,16.3462962963,0.583333333333
64,15,13.8166666667,0.555555555556
65,15,12.5148148148,0.583333333333
66,15,9.72777777778,0.861111111111
67,15,11.2111111111,0.861111111111
68,15,14.2888888889,0.694444444444
69,15,15.7018518519,0.527777777778
70,15,15.9277777778,0.722222222222
71,15,26.4611111111,0.666666666667
72,15,21.0333333333,0.694444444444
73,15,24.4333333333,0.666666666667
74,15,26.3796296296,0.611111111111
75,15,32.4222222222,0.5
76,15,37.6666666667,0.388888888889
77,15,37.3092592593,0.361111111111
78,15,37.5092592593,0.416666666667
79,15,35.8166666667,0.388888888889
80,15,32.3722222222,0.388888888889
81,15,30.4037037037,0.472222222222
82,15,34.9277777778,0.138888888889
83,15,33.4222222222,0.666666666667
84,15,18.8037037037,0.388888888889
85,15,24.0518518519,0.861111111111
86,15,14.2944444444,0.916666666667
87,15,13.1185185185,0.944444444444
88,15,11.8148148148,0.944444444444
89,15,14.2092592593,0.833333333333
90,15,17.9444444444,0.777777777778
91,15,18.9555555556,0.472222222222
92,15,29.0277777778,0.611111111111
93,15,32.8666666667,0.583333333333
94,15,34.0462962963,0.277777777778
95,15,32.2092592593,0.388888888889
96,15,34.1944444444,0.583333333333
97,15,27.6296296296,0.555555555556
98,15,22.75,0.694444444444
99,15,22.4944444444,0.722222222222
100,15,30.8333333333,0.527777777778
101,15,34.2296296296,0.555555555556
102,15,38.0759259259,0.305555555556
103,15,32.9111111111,0.333333333333
104,15,33.4407407407,0.472222222222
105,15,33.95,0.305555555556
106,15,39.937037037,0.583333333333
107,15,41.0666666667,0.583333333333
108,15,40.1666666667,0.694444444444
109,15,43.5462962963,0.694444444444
110,15,49.3648148148,0.833333333333
111,15,45.6111111111,0.916666666667
112,15,42.712962963,0.916666666667
113,15,37.4611111111,0.944444444444
114,15,45.0925925926,0.944444444444
115,15,27.9222222222,1.0
116,15,37.2611111111,1.0
117,15,46.8518518519,1.0
118,15,49.1018518519,0.972222222222
119,15,43.9185185185,0.972222222222
120,15,43.8388888889,1.0
121,15,38.787037037,0.972222222222
122,15,44.7685185185,0.944444444444
123,15,51.8240740741,0.861111111111
124,15,77.7185185185,0.583333333333
125,15,86.4444444444,0.388888888889
126,15,78.9388888889,0.0833333333333
127,15,52.1944444444,0.722222222222
128,15,52.8240740741,0.0277777777778
129,15,56.562962963,0.0277777777778
130,15,40.8111111111,0.0277777777778
131,15,29.7962962963,0.833333333333
132,15,36.1388888889,0.916666666667
133,15,17.2240740741,0.944444444444
134,15,12.4444444444,0.888888888889
135,15,15.9351851852,0.833333333333
136,15,23.2592592593,0.277777777778
137,15,22.3981481481,0.388888888889
138,15,28.0740740741,0.555555555556
139,15,26.9518518519,0.5
140,15,30.5722222222,0.472222222222
141,15,39.7444444444,0.305555555556
142,15,33.9611111111,0.416666666667
143,15,41.9518518519,0.416666666667
144,15,37.3796296296,0.444444444444
145,15,44.5277777778,0.416666666667
146,15,41.6296296296,0.333333333333
147,15,41.7722222222,0.5
148,15,47.2481481481,0.333333333333
149,15,50.2111111111,0.305555555556
150,15,53.4833333333,0.194444444444
151,15,58.8944444444,0.138888888889
152,15,66.5055555556,0.444444444444
153,15,63.8148148148,0.166666666667
154,15,56.5833333333,0.472222222222
155,15,51.7537037037,0.388888888889
156,15,38.6574074074,0.416666666667
157,15,28.3814814815,0.333333333333
158,15,25.8888888889,0.333333333333
159,15,23.5333333333,0.416666666667
160,15,32.5611111111,0.305555555556
161,15,19.75,0.416666666667
162,15,14.962962963,0.694444444444
