cycle,count,mae,rmse
24,150,1.28176510426,1.63935242959
25,150,1.56276916278,1.99442472118
26,150,1.69806710247,2.08970873215
27,150,1.93968609301,2.54534858468
28,150,1.80683672186,2.17992700663
29,150,1.60055215425,1.94382419211
30,150,1.42047842698,1.86556847157
31,150,1.75585338182,2.65488771639
32,150,2.32364716641,3.33030094481
33,150,1.72509236499,2.4527989539
34,150,1.96411900639,2.72644681423
35,150,1.67728908234,2.35738125533
36,150,1.54892426632,2.11755084681
37,150,1.5391361605,2.50729626311
38,150,1.91101525693,2.81420606226
39,150,2.01318647984,2.90783432736
40,150,1.96783678312,2.85962863403
41,150,2.14854353659,3.02569743061
42,150,2.4794809621,3.43049802998
43,150,2.01770138969,2.96647842082
44,150,1.65574862338,2.44156969063
45,150,1.75810117795,2.43955502518
46,150,1.41708115095,1.92897675118
47,150,1.28255897561,1.61218910778
48,150,1.64776294235,2.15988396408
49,150,1.6106020569,1.97955673008
50,150,1.46281418961,1.74714096172
51,150,1.58460988916,1.99453097399
52,150,1.73151716439,2.23316681178
53,150,1.52678447641,1.92716673034
54,150,1.38130649697,1.70688662577
55,150,1.32133176474,1.68327153016
56,150,1.43473145681,1.99515624064
57,150,1.70493169246,2.48943580868
58,150,2.03866459361,2.84513901325
59,150,1.94317356606,2.71267576325
60,150,1.78268144856,2.56733644601
61,150,1.65175484841,2.29161827027
62,150,1.67019822555,2.39595952797
63,150,1.85835019468,2.67504146652
64,150,1.88933893188,2.79700569567
65,150,1.91869520032,2.89204712662
66,150,2.3091362425,3.12683861977
67,150,1.76563440759,2.65773839827
68,150,1.37071350518,1.91903485604
69,150,1.52120535174,2.1547188407
70,150,1.33106978613,1.80257232054
71,150,1.23522098235,1.57822575499
72,150,1.52486169293,1.88107776453
73,150,1.66871357408,2.029240206
74,150,1.73885582584,2.1761082117
75,150,1.90727905709,2.54830648838
76,150,1.66485261703,2.10182786558
77,150,1.95067285063,2.48251968368
78,150,1.64838489834,2.03324144079
79,150,1.36270670118,1.71763956984
80,150,1.2884061868,1.69640203975
81,150,1.30151194254,1.81262978972
82,150,1.54998438405,2.2163578338
83,150,1.69441876081,2.33229107687
84,150,1.49500289236,2.03219053487
85,150,1.42632601132,2.03907454496
86,150,1.70838685116,2.4662275962
87,150,2.24940406671,3.19856174876
88,150,1.90749385753,2.91465920578
89,150,1.96779073837,2.94752044057
90,150,1.80268295013,2.72956374327
91,150,1.72222203543,2.67005011489
92,150,1.3639148328,2.27953674433
93,150,1.72259966832,2.52659109176
94,150,1.21658126889,1.61541522859
95,150,1.33474127392,1.67913247972
