cycle,count,mae,rmse
24,150,1.52866398704,1.9504044962
25,150,1.6561703245,2.11074617164
26,150,1.71928908168,2.20363235502
27,150,1.66621316668,2.05170246614
28,150,1.83266999889,2.26293207189
29,150,1.50121566136,1.85787116526
30,150,1.44474479537,1.86263207587
31,150,1.73866219585,2.63896186858
32,150,1.98022614903,2.72422630963
33,150,1.69444949448,2.39747503731
34,150,1.88089940184,2.63324487452
35,150,1.69961102636,2.42520871997
36,150,1.75822632795,2.43195927694
37,150,1.67698516533,2.68544007889
38,150,1.76417641653,2.66409334886
39,150,2.0260298737,2.98972049386
40,150,2.06162805447,2.93638631059
41,150,2.21666016689,3.09885301626
42,150,2.09044202947,3.02460417617
43,150,2.08979252836,3.0080141901
44,150,1.78133760051,2.63060699598
45,150,1.78604081318,2.42289374829
46,150,1.62762087239,2.21793977872
47,150,1.32568384185,1.6482997524
48,150,1.70669273496,2.24659241801
49,150,1.70574499533,2.06517968405
50,150,1.6613996776,2.01598316542
51,150,1.70800091984,2.05991098261
52,150,1.81456510247,2.22695754795
53,150,1.46256749603,1.81208528103
54,150,1.47733185071,1.81425686468
55,150,1.38357261138,1.77140117796
56,150,1.50922848247,2.0882127473
57,150,1.68033747251,2.47761821239
58,150,1.98881421017,2.80877065719
59,150,2.1047846912,2.92223449635
60,150,1.9616709189,2.79411090196
61,150,1.61609289863,2.28619936639
62,150,1.71708381978,2.48822989983
63,150,2.07120034756,2.97120666965
64,150,1.96517475299,2.79444275795
65,150,1.97381560644,2.9155694708
66,150,2.19378215561,3.04322319353
67,150,1.82916247367,2.69858733746
68,150,1.20731767632,1.73783659769
69,150,1.53416641047,2.26429309185
70,150,1.38415756334,1.87914578008
71,150,1.267142094,1.59354372342
72,150,1.43939940689,1.81636006965
73,150,1.57920783982,1.97253873762
74,150,1.62631898458,2.049507646
75,150,1.6193966956,2.03417842765
76,150,1.67645510535,2.07334534227
77,150,1.8116529117,2.24501323795
78,150,1.60792127812,2.00686022331
79,150,1.38194946703,1.74890022579
80,150,1.24989532148,1.69360399353
81,150,1.19240296455,1.69374999393
82,150,1.59456746032,2.24395870577
83,150,1.56454131847,2.11845004699
84,150,1.32433232356,1.75762681177
85,150,1.38033768514,1.97566967337
86,150,1.73377217328,2.63977281685
87,150,2.05280376303,3.0073045162
88,150,1.81387832458,2.78564469475
89,150,1.86571413657,2.80356360154
90,150,1.69133749477,2.59168149459
91,150,1.69037212843,2.63145293787
92,150,1.3566195958,2.19382751228
93,150,1.68096922859,2.46110130219
94,150,1.27959091865,1.68418090206
95,150,1.56741478438,1.94594114818
