cycle,count,mae,accuracy
50,15,20.862068279,0.777777777778
51,15,19.7800363018,0.777777777778
52,15,17.3510312401,0.833333333333
53,15,20.6224865177,0.75
54,15,15.5379424639,0.916666666667
55,15,21.4792231642,0.694444444444
56,15,15.6437365796,0.805555555556
57,15,18.2221485402,0.777777777778
58,15,26.9399104937,0.722222222222
59,15,21.2900553971,0.527777777778
60,15,14.7417881938,0.805555555556
61,15,15.760958383,0.777777777778
62,15,15.1492178756,0.722222222222
63,15,15.4826312162,0.638888888889
64,15,14.2821711336,0.75
65,15,15.5357616968,0.638888888889
66,15,14.9572301297,0.694444444444
67,15,16.27284661,0.75
68,15,18.8040590935,0.722222222222
69,15,21.0734285813,0.666666666667
70,15,24.0158296166,0.5
71,15,25.7652360166,0.388888888889
72,15,15.6237351715,0.75
73,15,18.4540209566,0.75
74,15,28.5651957361,0.555555555556
75,15,25.8953107607,0.555555555556
76,15,32.0160431973,0.527777777778
77,15,31.4922034254,0.5
78,15,28.7777955972,0.416666666667
79,15,25.9790801415,0.527777777778
80,15,24.9689467972,0.5
81,15,27.0722094327,0.5
82,15,34.8088969034,0.388888888889
83,15,31.5352395621,0.5
84,15,19.9691882203,0.638888888889
85,15,20.1941876465,0.666666666667
86,15,20.2756361546,0.777777777778
87,15,14.7015689321,0.888888888889
88,15,11.0715499969,0.972222222222
89,15,16.9054320474,0.722222222222
90,15,15.5843486644,0.777777777778
91,15,22.4963498271,0.5
92,15,34.0744214145,0.444444444444
93,15,33.1726462871,0.5
94,15,37.2745729647,0.416666666667
95,15,35.1117574842,0.444444444444
96,15,30.6649787116,0.583333333333
97,15,27.0507188976,0.666666666667
98,15,22.8700724957,0.638888888889
99,15,21.3157233788,0.611111111111
100,15,24.3361652893,0.611111111111
101,15,30.4214600946,0.527777777778
102,15,35.7841138754,0.444444444444
103,15,34.0442512787,0.361111111111
104,15,31.1129338082,0.472222222222
105,15,35.7922172248,0.416666666667
106,15,30.9888637562,0.611111111111
107,15,31.2008661969,0.777777777778
108,15,29.8828148615,0.805555555556
109,15,40.1252252246,0.666666666667
110,15,39.1628104392,0.694444444444
111,15,66.676055552,0.638888888889
112,15,43.8084221074,0.833333333333
113,15,75.9025748247,0.777777777778
114,15,54.8474057347,0.805555555556
115,15,42.9938133421,0.944444444444
116,15,46.5200158742,0.944444444444
117,15,41.1545739908,1.0
118,15,45.0729553863,0.972222222222
119,15,28.608234938,0.972222222222
120,15,33.5067819733,0.972222222222
121,15,33.9772402858,0.944444444444
122,15,36.81190084,0.944444444444
123,15,39.5896507288,0.861111111111
124,15,62.9082189948,0.583333333333
125,15,76.3314846362,0.444444444444
126,15,88.6273329962,0.333333333333
127,15,94.291243205,0.25
128,15,98.2674849433,0.444444444444
129,15,107.60082,0.388888888889
130,15,85.3127742031,0.5
131,15,50.259833514,0.555555555556
132,15,37.2731378616,0.583333333333
133,15,23.0664287111,0.777777777778
134,15,17.8111308057,0.777777777778
135,15,23.5179872459,0.527777777778
136,15,22.1799882277,0.472222222222
137,15,23.8300145723,0.694444444444
138,15,27.3578239491,0.472222222222
139,15,17.3857276115,0.666666666667
140,15,25.7513361145,0.527777777778
141,15,33.6424336262,0.5
142,15,37.8726076261,0.388888888889
143,15,28.0113788846,0.361111111111
144,15,32.4720369177,0.333333333333
145,15,30.3515703693,0.416666666667
146,15,33.1439922938,0.472222222222
147,15,31.6842199536,0.583333333333
148,15,38.5413861433,0.444444444444
149,15,37.7998947594,0.444444444444
150,15,49.9683011755,0.333333333333
151,15,48.4288221771,0.361111111111
152,15,52.6392254117,0.388888888889
153,15,48.9612147237,0.5
154,15,40.7739070196,0.555555555556
155,15,57.5164191349,0.305555555556
156,15,32.9466597036,0.5
157,15,23.2635768421,0.5
158,15,20.9259061664,0.555555555556
159,15,26.6816701031,0.611111111111
160,15,32.9517633869,0.388888888889
161,15,28.8572322185,0.527777777778
162,15,28.0291106312,0.527777777778
163,15,23.2054795817,0.638888888889
164,15,32.5905904325,0.472222222222
165,15,39.5024890841,0.5
