cycle,count,mae,accuracy
208,15,4.01246270248,1.0
209,15,3.35411756128,1.0
210,15,2.96224133765,1.0
211,15,3.274404156,1.0
212,15,3.82685544351,1.0
213,15,3.53597767967,1.0
214,15,3.47620161782,1.0
215,15,4.19290938678,1.0
216,15,5.26508090884,1.0
217,15,5.09481301399,1.0
218,15,5.8306546045,1.0
219,15,5.4011801231,0.972222222222
220,15,9.58297959814,0.944444444444
221,15,7.36727427246,0.972222222222
222,15,8.69391337397,0.944444444444
223,15,5.71482455741,0.972222222222
224,15,10.154586572,0.944444444444
225,15,8.47680952067,0.972222222222
226,15,5.95384933809,0.972222222222
227,15,7.46050733735,0.944444444444
228,15,7.64434928339,0.972222222222
229,15,9.44216956456,0.972222222222
230,15,4.32634513562,1.0
231,15,5.70009171758,0.972222222222
232,15,3.30476209709,0.972222222222
233,15,4.40859917815,1.0
234,15,4.78297722866,0.972222222222
235,15,8.9531040544,0.944444444444
236,15,8.5079137822,0.944444444444
237,15,10.4348335094,0.916666666667
238,15,7.66001575925,0.916666666667
239,15,10.9925945899,0.972222222222
240,15,4.64472560989,0.972222222222
241,15,7.40956425046,0.972222222222
242,15,6.64201005597,0.972222222222
243,15,4.91229755152,1.0
244,15,5.73290052866,0.972222222222
245,15,7.33387676769,0.972222222222
246,15,8.8611588915,0.944444444444
247,15,10.3331184259,0.972222222222
248,15,13.5376676041,0.972222222222
249,15,15.9956116588,0.861111111111
250,15,11.4204041146,0.916666666667
251,15,10.318704131,0.916666666667
252,15,10.397856109,0.944444444444
253,15,9.21600659837,0.944444444444
254,15,8.80943259764,0.944444444444
255,15,12.260471064,0.861111111111
256,15,12.6543431297,0.805555555556
257,15,16.6576399508,0.555555555556
258,15,22.1985279863,0.722222222222
259,15,19.3795264531,0.555555555556
260,15,20.5889218726,0.638888888889
261,15,19.5273964984,0.555555555556
262,15,20.762826233,0.722222222222
263,15,19.0107667447,0.694444444444
